name,id
Vincent Kompany,9594
Jérôme Boateng,26485
Yaya Touré,13091
David Silva,35518
Sergio Agüero,26399
Frank Lampard,3163
Kevin De Bruyne,88755
Raheem Sterling,134425
John Stones,186590
İlkay Gündoğan,53622
Leroy Sané,192565
Phil Foden,406635
Gabriel Jesus,363205
Ederson,238223
Aymeric Laporte,176553
Kyle Walker,95424
Bernardo Silva,241641
Riyad Mahrez,171424
João Cancelo,182712
Rodri,357565
Cole Palmer,568177
Rúben Dias,258004
Jack Grealish,203460
Erling Haaland,418560
Julián Álvarez,576024
Josko Gvardiol,475959
Paul Pogba,122153
Wayne Rooney,3332
David de Gea,59377
Robin van Persie,4380
Ángel Di María,45320
Bastian Schweinsteiger,2514
Marcus Rashford,258923
Memphis Depay,167850
Zlatan Ibrahimović,3455
Romelu Lukaku,96341
Alexis Sánchez,40433
Bruno Fernandes,240306
Edinson Cavani,48280
Raphaël Varane,164770
Jadon Sancho,401173
Cristiano Ronaldo,8198
Casemiro,16306
Christian Eriksen,69633
Antony,602105
Mason Mount,346483
Eden Hazard,50202
Thibaut Courtois,108390
Mohamed Salah,148455
Cesc Fàbregas,8806
N'Golo Kanté,225083
Antonio Rüdiger,86202
Álvaro Morata,128223
Kepa Arrizabalaga,192279
Jorginho,102017
Christian Pulisic,315779
Reece James,472423
Thiago Silva,29241
Kai Havertz,309400
Hakim Ziyech,217111
Timo Werner,170527
Enzo Fernández,648195
João Félix,462250
Pierre-Emerick Aubameyang,58864
Christopher Nkunku,344381
Luis Suárez,44352
Philippe Coutinho,80444
Roberto Firmino,131789
Trent Alexander-Arnold,314353
Georginio Wijnaldum,49499
Sadio Mané,200512
Virgil van Dijk,139208
Andrew Robertson,234803
Alisson,105470
Fabinho,225693
Thiago,60444
Diogo Jota,340950
Luis Díaz,480692
Darwin Núñez,546543
Alexis Mac Allister,534033
Thierry Henry,3207
Serge Gnabry,159471
Mesut Özil,35664
Granit Xhaka,111455
Bukayo Saka,433177
Gabriel Martinelli,655488
William Saliba,495666
Thomas Partey,230784
Martin Ødegaard,316264
Declan Rice,357662
Luka Modric,27992
Gareth Bale,39381
Harry Kane,132098
Heung-min Son,91845
Ivan Perisic,42460
James Maddison,294057
Youri Tielemans,249565
James Rodríguez,88103
Jude Bellingham,581678
Iker Casillas,3979
Sergio Ramos,25557
Pepe,14132
Marcelo,44501
Xabi Alonso,7476
Kaká,3366
Karim Benzema,18922
Daniel Carvajal,138927
Isco,85288
Toni Kroos,31909
Marcos Llorente,282411
Achraf Hakimi,398073
Marco Asensio,296622
Federico Valverde,369081
Vinicius Junior,371998
Éder Militão,401530
Rodrygo,412363
David Alaba,59016
Eduardo Camavinga,640428
Aurélien Tchouaméni,413112
Gerard Piqué,18944
Carles Puyol,7594
Dani Alves,15951
Sergio Busquets,65230
Andrés Iniesta,7600
Xavi,7607
Sergi Roberto,85370
Lionel Messi,28003
David Villa,7980
Jordi Alba,69751
Neymar,68290
Marc-André ter Stegen,74857
Ivan Rakitic,32467
Ousmane Dembélé,288230
Arturo Vidal,37666
Ronald Araujo,480267
Frenkie de Jong,326330
Antoine Griezmann,125781
Pedri,683840
Gavi,646740
Jules Koundé,411975
Lamine Yamal,937958
Robert Lewandowski,38253
Koke,74229
José Antonio Reyes,7717
Lucas Hernández,281963
Jan Oblak,121483
Wesley Sneijder,4673
Mauro Icardi,68863
Marcelo Brozovic,156617
Milan Skriniar,204069
Lautaro Martínez,406625
Nicolò Barella,255942
Gianluigi Buffon,5023
Leonardo Bonucci,39983
Kingsley Coman,243714
Paulo Dybala,206050
Matthijs de Ligt,326031
Adrien Rabiot,182913
Federico Chiesa,341092
Dušan Vlahović,357498
Ronaldinho,3373
Gianluigi Donnarumma,315858
Rafael Leão,357164
Franck Ribéry,22068
Marquinhos,181767
Lorenzo Insigne,133964
Victor Osimhen,401923
Khvicha Kvaratskhelia,502670
Marco Verratti,102558
Julian Brandt,187492
Florian Wirtz,598577
Arjen Robben,4360
Thomas Müller,58358
Manuel Neuer,17259
Mario Götze,74842
Joshua Kimmich,161056
Mats Hummels,39728
Niklas Süle,166601
Alphonso Davies,424204
Leon Goretzka,153084
Jamal Musiala,580195
Dayot Upamecano,344695
Marco Reus,35207
Randal Kolo Muani,487969
Xavi Simons,566931
Kylian Mbappé,342229
Keylor Navas, 79422
Giorgio Chiellini, 29260
