player_id,from_id,to_id,date
88262,44,2282,2022-08-22
88262,123,44,2019-07-01
88262,281,123,2015-07-01
88262,317,281,2013-01-08
88262,281,317,2012-08-31
88262,123,281,2012-05-17
88262,281,123,2011-09-01
88262,123,281,2010-07-01
121416,281,123,2014-04-14
121416,123,281,2014-01-01
121416,281,123,2013-08-06
121416,123,281,2013-03-08
121416,281,123,2013-01-30
121416,123,281,2013-01-28
121416,281,123,2012-09-15
121416,123,281,2011-12-01
121416,281,123,2011-09-01
121416,123,281,2010-07-01
52267,1237,123,2012-08-01
52267,281,1237,2012-01-19
52267,123,281,2011-12-31
52267,281,123,2011-07-01
52267,399,281,2011-06-30
52267,281,399,2011-01-31
52267,123,281,2010-01-01
52267,2063,123,2009-07-01
52267,123,2063,2009-02-01
52267,126,123,2008-07-29
52267,123,126,2007-07-19
121406,281,123,2014-01-22
121406,123,281,2013-12-31
121406,281,123,2013-01-07
121406,123,281,2012-12-31
121406,281,123,2012-08-01
121406,467,281,2012-03-01
121406,281,467,2011-07-01
121406,123,281,2011-05-01
121406,281,123,2011-01-01
121406,123,281,2010-07-01
115507,209,1444,2024-01-09
115507,276,209,2018-01-29
115507,281,276,2017-07-11
115507,276,281,2017-06-30
115507,281,276,2017-01-19
115507,367,281,2017-01-15
115507,281,367,2016-08-29
115507,123,281,2016-06-30
115507,281,123,2016-02-01
115507,123,281,2016-01-02
115507,281,123,2015-10-26
115507,123,281,2015-06-30
115507,281,123,2015-01-31
115507,1049,281,2015-01-30
115507,281,1049,2014-08-19
115507,1444,281,2014-07-01
115507,123,1444,2010-07-01
46156,46,123,2022-07-01
46156,12,46,2020-09-08
46156,281,12,2017-07-22
46156,398,281,2010-07-24
46156,123,398,2007-07-01
3202,31,123,2016-07-24
3202,281,31,2013-07-01
3202,11,281,2009-07-28
3202,123,11,2002-02-14
20007,379,123,2020-10-16
20007,281,379,2017-07-01
20007,714,281,2008-08-31
20007,1775,714,2005-08-20
20007,123,1775,2003-01-01
174694,368,1075,2023-08-02
174694,1095,368,2023-06-30
174694,368,1095,2022-08-24
174694,123,368,2022-06-30
174694,368,123,2021-08-17
174694,417,368,2021-06-30
174694,368,417,2020-07-29
174694,162,368,2019-08-14
174694,1082,162,2017-06-30
174694,162,1082,2016-01-07
174694,281,162,2015-08-28
174694,1082,281,2015-06-30
174694,281,1082,2014-07-07
174694,123,281,2012-08-15
74810,1132,1148,2022-07-22
74810,281,1132,2012-01-17
74810,1132,281,2012-01-16
74810,281,1132,2011-07-14
74810,1003,281,2011-05-01
74810,281,1003,2011-01-01
74810,123,281,2010-07-01
26485,380,123,2024-07-01
26485,123,380,2024-02-02
26485,1041,123,2023-07-01
26485,27,1041,2021-09-01
26485,281,27,2011-07-14
26485,123,281,2010-07-01
26485,44,123,2007-08-21
26485,123,44,2007-01-01
258878,931,631,2024-07-01
258878,123,931,2020-10-05
258878,984,123,2019-05-31
258878,123,984,2018-08-03
8883,3205,123,2019-12-03
8883,6890,3205,2019-08-26
8883,123,6890,2017-01-31
8883,873,123,2016-07-01
8883,123,873,2016-01-26
8883,148,123,2015-09-13
8883,281,148,2012-08-21
8883,148,281,2012-05-14
8883,281,148,2011-08-25
8883,418,281,2011-06-30
8883,281,418,2011-01-25
8883,11,281,2009-07-18
8883,162,11,2006-01-13
8883,347,162,2003-08-01
8883,123,347,2001-07-01
3297,31,123,2012-08-10
3297,281,31,2011-08-31
3297,123,281,2011-05-31
3297,281,123,2010-08-17
3297,379,281,2009-01-19
3297,31,379,2007-07-10
3297,123,31,2006-07-01
3297,762,123,2005-07-08
3297,123,762,2005-05-30
3297,762,123,2005-01-31
3297,123,762,2001-07-01
3297,1123,123,2000-08-17
3297,123,1123,1996-07-01
3163,40058,123,2017-02-02
3163,281,40058,2015-06-30
3163,40058,281,2014-08-03
3163,631,40058,2014-08-01
3163,379,631,2001-07-01
3163,123,379,1996-01-01
3163,379,123,1995-10-06
3163,123,379,1995-07-01
261504,12321,15,2024-07-01
261504,1533,12321,2021-07-23
261504,123,1533,2021-01-18
261504,281,123,2020-10-05
261504,123,281,2020-06-30
261504,281,123,2019-09-02
261504,12321,281,2019-06-30
261504,281,12321,2017-08-01
261504,123,281,2016-07-01
26399,131,123,2021-12-15
26399,281,131,2021-07-01
26399,13,281,2011-07-28
26399,1234,13,2006-07-01
26399,123,1234,2005-01-01
2963,714,123,2017-01-17
2963,281,714,2016-08-10
2963,13,281,2013-09-02
