player_id,from_id,to_id,date
238223,294,281,2017-07-01
238223,2425,294,2015-07-01
238223,6144,2425,2012-07-01
238223,8889,6144,2011-07-01
238223,45618,8889,2010-07-01
238223,14679,45618,2010-01-01
221624,281,1247,2024-01-31
221624,641,281,2023-05-31
221624,281,641,2022-07-19
221624,38,281,2020-06-30
221624,281,38,2019-07-10
221624,813,281,2019-07-09
221624,4290,813,2016-11-30
221624,813,4290,2016-08-13
221624,60,813,2016-07-22
221624,245,60,2016-07-01
221624,516,245,2015-01-01
221624,46342,516,2013-08-01
221624,46344,46342,2008-07-01
14555,22,281,2021-07-20
14555,281,22,2021-05-31
14555,22,281,2019-08-08
14555,1071,22,2015-07-01
14555,20,1071,2013-07-04
14555,984,20,2011-07-01
14555,31,984,2008-07-18
14555,405,31,2008-06-30
14555,31,405,2007-08-10
14555,358,31,2007-07-08
14555,31,358,2006-08-16
14555,1035,31,2006-05-01
14555,31,1035,2006-03-10
14555,399,31,2005-01-21
14555,10161,399,2003-07-01
566799,9265,1132,2023-07-20
566799,355,9265,2023-05-31
566799,9265,355,2022-07-01
566799,355,9265,2022-05-31
566799,9265,355,2022-01-13
566799,3688,9265,2022-01-12
566799,9265,3688,2021-07-01
566799,6930,9265,2020-07-01
566799,50678,6930,2019-07-01
258004,294,281,2020-09-29
258004,10330,294,2017-07-01
258004,8889,10330,2015-07-01
258004,45618,8889,2014-07-01
258004,53954,45618,2012-07-01
258004,53955,53954,2010-07-01
258004,92856,53955,2008-07-01
176553,281,18544,2023-08-24
176553,621,281,2018-01-30
176553,6688,621,2012-12-17
176553,6665,6688,2012-07-01
176553,28860,6665,2011-07-01
176553,89811,28860,2010-07-01
177476,989,281,2020-08-05
177476,631,989,2017-07-01
177476,989,631,2017-01-08
177476,631,989,2016-07-01
177476,1010,631,2016-05-31
177476,631,1010,2015-08-14
177476,1032,631,2015-04-22
177476,631,1032,2015-03-25
177476,6918,631,2013-01-01
177476,51654,6918,2011-07-01
177476,32798,51654,2010-07-01
177476,32790,32798,2007-07-01
186590,29,281,2016-08-09
186590,349,29,2013-01-31
186590,14465,349,2012-07-01
186590,91862,14465,2010-07-01
466794,12321,131,2024-06-30
466794,131,12321,2023-09-01
466794,281,131,2021-07-01
466794,9265,281,2019-07-01
466794,6930,9265,2018-07-01
466794,14321,6930,2017-07-01
466794,70295,14321,2016-07-01
54781,281,294,2020-09-29
54781,1049,281,2015-08-20
54781,720,1049,2014-07-01
54781,330,720,2014-06-30
54781,720,330,2014-01-31
54781,1029,720,2010-08-31
54781,14842,1029,2009-01-01
54781,15113,14842,2007-07-01
503977,281,180,2024-07-01
503977,180,281,2024-05-31
503977,281,180,2023-09-01
503977,1132,281,2023-05-31
503977,281,1132,2022-07-01
503977,512,281,2022-05-31
503977,281,512,2022-01-11
503977,58,281,2022-01-10
503977,281,58,2021-07-01
503977,164,281,2021-05-31
503977,281,164,2021-02-01
503977,9265,281,2021-01-01
503977,6930,9265,2019-07-01
503977,50678,6930,2018-07-01
340460,234,467,2022-08-11
340460,281,234,2022-01-31
340460,1095,281,2022-01-25
340460,281,1095,2021-08-31
340460,58,281,2020-06-30
340460,281,58,2019-07-17
340460,1269,281,2018-07-31
340460,52068,1269,2016-07-01
340460,51645,52068,2014-07-01
340460,32791,51645,2013-07-01
340460,52790,32791,2005-07-01
609883,404,9265,2024-06-30
609883,9265,404,2023-08-26
609883,355,9265,2023-05-31
609883,9265,355,2023-01-31
609883,1110,9265,2023-01-30
609883,9265,1110,2022-09-01
609883,6930,9265,2020-07-01
609883,50678,6930,2019-07-01
