name,id,actual_name
joe-hart,40204,Joe Hart
shay-given,3146,Shay Given
stuart-taylor,3190,Stuart Taylor
david-gonzalez,52267,David González
vincent-kompany,9594,Vincent Kompany
kolo-toure,3202,Kolo Touré
jerome-boateng,26485,Jérôme Boateng
joleon-lescott,4241,Joleon Lescott
nedum-onuoha,28810,Nedum Onuoha
dedryck-boyata,88262,Dedryck Boyata
ryan-mcgivern,61632,Ryan McGivern
greg-cunningham,114093,Greg Cunningham
ben-mee,74810,Ben Mee
aleksandar-kolarov,46156,Aleksandar Kolarov
wayne-bridge,3682,Wayne Bridge
chris-chantler,121403,Chris Chantler
pablo-zabaleta,20007,Pablo Zabaleta
micah-richards,32617,Micah Richards
shay-logan,58579,Shay Logan
javan-vidal,99452,Javan Vidal
frederic-veseli,111433,Frédéric Veseli
reece-wabara,121416,Reece Wabara
omar-elabdellaoui,121404,Omar Elabdellaoui
nigel-de-jong,4672,Nigel de Jong
gareth-barry,3291,Gareth Barry
michael-johnson,45274,Michael Johnson
patrick-vieira,3183,Patrick Vieira
yaya-toure,13091,Yaya Touré
james-milner,3333,James Milner
abdisalam-ibrahim,121406,Abdisalam Ibrahim
scott-kay,121408,Scott Kay
abdul-razak,177321,Abdul Razak
david-silva,35518,David Silva
craig-bellamy,3297,Craig Bellamy
vladimir-weiss,92701,Vladimir Weiss
adam-johnson,31579,Adam Johnson
shaun-wright-phillips,3467,Shaun Wright-Phillips
carlos-tevez,4276,Carlos Tevez
edin-dzeko,28396,Edin Dzeko
mario-balotelli,45146,Mario Balotelli
emmanuel-adebayor,8883,Emmanuel Adebayor
jotm,34156,Jô
roque-santa-cruz,215,Roque Santa Cruz
john-guidetti,98596,John Guidetti
alex-nimely,121410,Alex Nimely
costel-pantilimon,47659,Costel Pantilimon
stefan-savic,107010,Stefan Savic
karim-rekik,182579,Karim Rekik
gael-clichy,7449,Gaël Clichy
razak-nuhu,191935,Razak Nuhu
owen-hargreaves,201,Owen Hargreaves
david-pizarro,5896,David Pizarro
samir-nasri,18935,Samir Nasri
joan-roman,121411,Joan Román
denis-suarez,165007,Denis Suárez
luca-scapuzzi,88709,Luca Scapuzzi
sergio-aguero,26399,Sergio Agüero
richard-wright,3120,Richard Wright
eirik-holmen-johansen,121387,Eirik Holmen Johansen
matija-nastasic,143559,Matija Nastasic
jack-rodwell,57079,Jack Rodwell
courtney-meppen-walter,181548,Courtney Meppen-Walter
maicon,18301,Maicon
javi-garcia,36350,Javi García
george-evans,181498,George Evans
jeremy-helan,103261,Jérémy Hélan
scott-sinclair,31552,Scott Sinclair
rony-lopes,174694,Rony Lopes
martin-demichelis,2963,Martín Demichelis
jesus-navas,15956,Jesús Navas
fernandinho,26267,Fernandinho
emyr-huws,121474,Emyr Huws
alvaro-negredo,18644,Álvaro Negredo
stevan-jovetic,46104,Stevan Jovetic
willy-caballero,19948,Willy Caballero
eliaquim-mangala,90681,Eliaquim Mangala
angelino,277179,Angeliño
bacary-sagna,26764,Bacary Sagna
fernando,51174,Fernando
bruno-zuculini,115507,Bruno Zuculini
frank-lampard,3163,Frank Lampard
george-glendon,201570,George Glendon
sinan-bytyqi,186790,Sinan Bytyqi
jose-pozo,195605,José Pozo
bersant-celina,229695,Bersant Celina
wilfried-bony,81808,Wilfried Bony
thierry-ambrose,265763,Thierry Ambrose
nicolas-otamendi,54781,Nicolás Otamendi
jason-denayer,277114,Jason Denayer
tosin-adarabioyo,258878,Tosin Adarabioyo
cameron-humphreys,277723,Cameron Humphreys
pablo-maffeo,251876,Pablo Maffeo
james-horsfield,210202,James Horsfield
luke-brattan,114365,Luke Brattan
fabian-delph,50362,Fabian Delph
aleix-garcia,261504,Aleix García
kevin-de-bruyne,88755,Kevin De Bruyne
manu-garcia,277118,Manu García
raheem-sterling,134425,Raheem Sterling
brandon-barker,214927,Brandon Barker
patrick-roberts,225452,Patrick Roberts
kelechi-iheanacho,295330,Kelechi Iheanacho
david-faupala,272624,David Faupala
claudio-bravo,40423,Claudio Bravo
angus-gunn,201574,Angus Gunn
john-stones,186590,John Stones
oleksandr-zinchenko,203853,Oleksandr Zinchenko
ilkay-gundogan,53622,İlkay Gündoğan
brahim-diaz,314678,Brahim Díaz
nolito,70934,Nolito
leroy-sane,192565,Leroy Sané
phil-foden,406635,Phil Foden
gabriel-jesus,363205,Gabriel Jesus
ederson,238223,Ederson
aymeric-laporte,176553,Aymeric Laporte
danilo,145707,Danilo
benjamin-mendy,157495,Benjamin Mendy
kyle-walker,95424,Kyle Walker
demeaco-duhaney,380913,Demeaco Duhaney
tom-dele-bashiru,346472,Tom Dele-Bashiru
bernardo-silva,241641,Bernardo Silva
jack-harrison,417346,Jack Harrison
lukas-nmecha,314288,Lukas Nmecha
arijanet-muric,371021,Arijanet Muric
daniel-grimshaw,339253,Daniel Grimshaw
philippe-sandler,340460,Philippe Sandler
pablo-mari,210178,Pablo Marí
erik-palmer-brown,282199,Erik Palmer-Brown
eric-garcia,466794,Eric García
luke-bolton,382553,Luke Bolton
claudio-gomes,395239,Claudio Gomes
douglas-luiz,447661,Douglas Luiz
mix-diskerud,103559,Mix Diskerud
felix-nmecha,406640,Felix Nmecha
adrian-bernabe,466802,Adrián Bernabé
taylor-richards,484551,Taylor Richards
luka-ilic,429790,Luka Ilic
anthony-caceres,226739,Anthony Cáceres
marlos-moreno,345654,Marlos Moreno
riyad-mahrez,171424,Riyad Mahrez
ian-poveda,392763,Ian Poveda
scott-carson,14555,Scott Carson
taylor-harwood-bellis,503977,Taylor Harwood-Bellis
joao-cancelo,182712,João Cancelo
alpha-diounkou,554175,Alpha Diounkou
rodri,357565,Rodri
tommy-doyle,433183,Tommy Doyle
cole-palmer,568177,Cole Palmer
ryotaro-meshino,426666,Ryotaro Meshino
zack-steffen,221624,Zack Steffen
james-trafford,566799,James Trafford
ruben-dias,258004,Rúben Dias
nathan-ake,177476,Nathan Aké
luke-mbete,609883,Luke Mbete
ferran-torres,398184,Ferran Torres
liam-delap,610849,Liam Delap
cieran-slicker,621997,Cieran Slicker
cj-egan-riley,581669,CJ Egan-Riley
finley-burns,581681,Finley Burns
josh-wilson-esbrand,576121,Josh Wilson-Esbrand
yan-couto,627228,Yan Couto
romeo-lavia,628451,Roméo Lavia
james-mcatee,583199,James McAtee
jack-grealish,203460,Jack Grealish
samuel-edozie,680806,Samuel Edozie
kayky,668265,Kayky
