name,id,actual_name
manchester-city,281,Manchester City
manchester-united,985,Manchester United
fc-chelsea,631,Chelsea FC
fc-liverpool,31,Liverpool FC
fc-arsenal,11,Arsenal FC
tottenham-hotspur,148,Tottenham Hotspur
aston-villa,405,Aston Villa
fc-everton,29,Everton FC
afc-sunderland,289,Sunderland AFC
west-ham-united,379,West Ham United
newcastle-united,762,Newcastle United
fc-fulham,931,Fulham FC
bolton-wanderers,355,Bolton Wanderers
birmingham-city,337,Birmingham City
stoke-city,512,Stoke City
blackburn-rovers,164,Blackburn Rovers
west-bromwich-albion,984,West Bromwich Albion
wolverhampton-wanderers,543,Wolverhampton Wanderers
wigan-athletic,1071,Wigan Athletic
fc-blackpool,1181,Blackpool FC
queens-park-rangers,1039,Queens Park Rangers
swansea-city,2288,Swansea City
norwich-city,1123,Norwich City
fc-southampton,180,Southampton FC
fc-reading,1032,Reading FC
cardiff-city,603,Cardiff City
crystal-palace,873,Crystal Palace
hull-city,3008,Hull City
leicester-city,1003,Leicester City
fc-burnley,1132,Burnley FC
fc-watford,1010,Watford FC
afc-bournemouth,989,AFC Bournemouth
fc-middlesbrough,641,Middlesbrough FC
brighton-amp-hove-albion,1237,Brighton & Hove Albion
huddersfield-town,1110,Huddersfield Town
sheffield-united,350,Sheffield United
leeds-united,399,Leeds United
fc-brentford,1148,Brentford FC
nottingham-forest,703,Nottingham Forest
luton-town,1031,Luton Town
real-madrid,418,Real Madrid
fc-barcelona,131,FC Barcelona
atletico-madrid,13,Atlético de Madrid
fc-valencia,1049,Valencia CF
fc-sevilla,368,Sevilla FC
fc-villarreal,1050,Villarreal CF
athletic-bilbao,621,Athletic Bilbao
espanyol-barcelona,714,RCD Espanyol Barcelona
ud-almeria,3302,UD Almería
fc-malaga,1084,Málaga CF
real-sociedad-san-sebastian,681,Real Sociedad
fc-getafe,3709,Getafe CF
deportivo-la-coruna,897,Deportivo de La Coruña
racing-santander,630,Racing Santander
ca-osasuna,331,CA Osasuna
real-saragossa,142,Real Zaragoza
rcd-mallorca,237,RCD Mallorca
sporting-gijon,2448,Sporting Gijón
hercules-alicante,7971,Hércules CF
ud-levante,3368,Levante UD
fc-granada,16795,Granada CF
real-betis-sevilla,150,Real Betis Balompié
rayo-vallecano,367,Rayo Vallecano
celta-vigo,940,Celta de Vigo
real-valladolid,366,Real Valladolid CF
fc-elche,1531,Elche CF
fc-cordoba,993,Córdoba CF
sd-eibar,1533,SD Eibar
ud-las-palmas,472,UD Las Palmas
deportivo-alaves,1108,Deportivo Alavés
cd-leganes,1244,CD Leganés
fc-girona,12321,Girona FC
sd-huesca,5358,SD Huesca
fc-cadiz,2687,Cádiz CF
inter-milan,46,Inter Milan
juventus-fc,506,Juventus FC
ac-mailand,5,AC Milan
ac-florenz,430,ACF Fiorentina
as-rom,12,AS Roma
ssc-neapel,6195,SSC Napoli
genua-cfc,252,Genoa CFC
udinese-calcio,410,Udinese Calcio
sampdoria-genua,1038,UC Sampdoria
palermo-fc,458,US Palermo
lazio-rom,398,SS Lazio
parma-calcio-1913,130,Parma FC
cagliari-calcio,1390,Cagliari Calcio
cesena-fc,1429,AC Cesena
fc-bologna,1025,Bologna FC 1909
catania-calcio,1627,Calcio Catania
ssc-bari,332,AS Bari
chievo-verona,862,Chievo Verona
brescia-calcio,19,Brescia Calcio
us-lecce,1005,US Lecce
atalanta-bergamo,800,Atalanta BC
acn-siena-1904,1387,AC Siena
novara-calcio,6692,Novara Calcio 1908
fc-turin,416,Torino FC
delfino-pescara-1936,2921,Delfino Pescara 1936
us-sassuolo,6574,US Sassuolo
as-livorno,1210,AS Livorno
hellas-verona,276,Hellas Verona
fc-empoli,749,FC Empoli
carpi-fc-1909,4102,Carpi FC 1909
frosinone-calcio,8970,Frosinone Calcio
fc-crotone,4083,FC Crotone
spal,2722,SPAL 2013
benevento-calcio,4171,Benevento Calcio
spezia-calcio,3522,Spezia Calcio
venezia-fc,607,Venezia FC
us-salernitana-1919,380,US Salernitana 1919
ac-monza,2919,AC Monza
us-cremonese,2239,US Cremonese
bayer-04-leverkusen,15,Bayer 04 Leverkusen
bayern-munich,27,Bayern Munich
borussia-dortmund,16,Borussia Dortmund
fc-schalke-04,33,FC Schalke 04
sv-werder-bremen,86,SV Werder Bremen
vfl-wolfsburg,82,VfL Wolfsburg
tsg-1899-hoffenheim,533,TSG 1899 Hoffenheim
hamburger-sv,41,Hamburger SV
vfb-stuttgart,79,VfB Stuttgart
1-fc-koln,3,1.FC Köln
borussia-monchengladbach,18,Borussia Mönchengladbach
hannover-96,42,Hannover 96
1-fsv-mainz-05,39,1.FSV Mainz 05
1-fc-nurnberg,4,1.FC Nuremberg
sc-freiburg,60,SC Freiburg
1-fc-kaiserslautern,2,1.FC Kaiserslautern
eintracht-frankfurt,24,Eintracht Frankfurt
fc-st-pauli,35,FC St. Pauli
hertha-bsc,44,Hertha BSC
fc-augsburg,167,FC Augsburg
spvgg-greuther-furth,65,SpVgg Greuther Fürth
fortuna-dusseldorf,38,Fortuna Düsseldorf
eintracht-braunschweig,23,Eintracht Braunschweig
sc-paderborn-07,127,SC Paderborn 07
fc-ingolstadt-04,4795,FC Ingolstadt 04
